username,location,text,tweet_date,hashtags_extracted,text_cleaned,loc_country
18 WJTS,United States,Dubois County Health Department to host COVID-19 vaccination clinic for kids https://t.co/8mRfURjoxp,2021-11-23 12:42:04+00:00,,duboi counti health depart host covid19 vaccin clinic kid,Unknown
Jonni Fionn,United States,"@waynerohde @Link01T @StarTribune The cdc study says:
""According to the study authors, “These findings suggest that among hospitalized adults with COVID-19-like illness whose previous infection or vaccination occurred 90–179 days earlier,vaccine-induced immunity was more protective than infection-induced immunity",2021-11-23 10:53:52+00:00,,waynerohd link01t startribun cdc studi say accord studi author find suggest among hospit adult covid19lik ill whose previou infect vaccin occur day earliervaccineinduc immun protect infectioninduc immun,Unknown
"Patricia Farrell, Ph.D.",United States,"As vaccination efforts falter, the U.S. must get serious about Covid-19 testing and reporting https://t.co/AHCPwxNiFJ via @statnews",2021-11-24 23:59:32+00:00,,vaccin effort falter u must get seriou covid19 test report via statnew,Unknown
Newsmax,United States,A group of Massachusetts health-care workers has asked the Supreme Court for an exemption from its Boston-based hospital’s mandatory COVID-19 vaccination policy.https://t.co/HUv9f0BHAD,2021-11-24 20:10:13+00:00,,group massachusett healthcar worker ask suprem court exempt bostonbas hospit mandatori covid19 vaccin polici,Unknown
imran khan,United States,@imagine32743903 @CNN What is stupid about avoiding unknown long term side effects to covid 19 vaccination?,2021-11-24 20:04:54+00:00,,imagine32743903 cnn stupid avoid unknown long term side effect covid vaccin,Unknown
Vaccinate Your Family,United States,"“Pfizer COVID Vaccine Is 100% Effective in Adolescents: Study” - via @WebMD - https://t.co/TKmk1KinVU
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines #COVID19vaccine #vaccination",2021-11-24 19:25:01+00:00,"covid19,covidvaccine,vaxnews,vaccines,vaccineswork,covid19vaccines,covid19vaccine,vaccination",pfizer covid vaccin effect adolesc studi via webmd covid19 covidvaccin vaxnew vaccin vaccineswork covid19vaccin covid19vaccin vaccin,Unknown
Vaccinate Your Family,United States,"“COVID-19 Vaccine Boosters for All Adults: What Doctors Need to Know”  - via @AmerMedicalAssn - https://t.co/rF7VuOImRv
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines #COVID19vaccine #vaccination",2021-11-24 19:20:01+00:00,"covid19,covidvaccine,vaxnews,vaccines,vaccineswork,covid19vaccines,covid19vaccine,vaccination",covid19 vaccin booster adult doctor need know via amermedicalassn covid19 covidvaccin vaxnew vaccin vaccineswork covid19vaccin covid19vaccin vaccin,Unknown
🌸Pink Lady 4 Trump~Best President EVER!🌸,United States,White House Covid-19 vaccination coordinator steps down https://t.co/aq8reev82S,2021-11-24 18:17:08+00:00,,white hous covid19 vaccin coordin step,Unknown
The Center Square,United States,Ohio Attorney General Dave Yost kept pressure on the Biden administration this week by joining a lawsuit challenging the federal COVID-19 vaccination mandate for health care employees. https://t.co/F3xD2HDDVp,2021-11-24 18:08:01+00:00,,ohio attorney gener dave yost kept pressur biden administr week join lawsuit challeng feder covid19 vaccin mandat health care employe,Unknown
memeorandum,United States,"Update on Implementation of COVID-⁠19 Vaccination Requirement for Federal Employees (The White House)

https://t.co/3AhDwiVCKA
https://t.co/xwpj4ZPaKo",2021-11-24 17:46:12+00:00,,updat implement covid19 vaccin requir feder employe white hous,Unknown
Digit View,United States,"@CNN Get vaccination. Save yourself and protect others!
Covid-19 is a killer virus.",2021-11-24 17:16:34+00:00,,cnn get vaccin save protect other covid19 killer viru,Unknown
AllSides,United States,"""It’s clear that SARS-CoV-2 is very successful at finding new people to infect, and that people can get infected after vaccination. For these reasons, the transmission of this virus is not expected to end.""

More from @ConversationUS:

https://t.co/a7iaiCGogY",2021-11-24 17:00:01+00:00,,clear sarscov2 success find new peopl infect peopl get infect vaccin reason transmiss viru expect end conversationu,Unknown
Trūth Is Pɑwər,United States,"At least 600 Google employees signed a manifesto asking their employer to retract the compulsory COVID-19 vaccination mandate ahead of workers returning to offices, media reported...

https://t.co/fXBFYymouP https://t.co/wfb3hp27P8",2021-11-24 16:11:04+00:00,,least googl employe sign manifesto ask employ retract compulsori covid19 vaccin mandat ahead worker return offic medium report,Unknown
Marsh McLennan Agency - Midwest,United States,"How will the OSHA Emergency Temporary Standard for #COVID19 #Vaccination and Testing interim final rule affect your organization? The #MarshMMA guide will help to address employer requirements, effective dates, and its legal challenges. https://t.co/HSLyGuvmTv https://t.co/StKeU9wPrX",2021-11-24 15:36:14+00:00,"covid19,vaccination,marshmma",osha emerg temporari standard covid19 vaccin test interim final rule affect organ marshmma guid help address employ requir effect date legal challeng,Unknown
News Bht,United States,"COVID-19 update for Nov. 24: Vaccination for kids 5-11 begins Monday | 324 new cases, one death | COVID-19 vaccinations for kids a co-parenting decision: Lawyer https://t.co/29KV8kyUMw",2021-11-24 15:33:36+00:00,,covid19 updat nov vaccin kid begin monday new case one death covid19 vaccin kid copar decis lawyer,Unknown
Anti-terrorism,United States,"The failure of COVID-19 vaccines.

The  Chinese Sinovac  COVID-19 vaccine efficacy drops to 28% against both Covid-19 infection and ICU admission in three to five months after completing vaccination.
https://t.co/9gPfdbwtyD",2021-11-24 14:38:16+00:00,,failur covid19 vaccin chine sinovac covid19 vaccin efficaci drop covid19 infect icu admiss three five month complet vaccin,Unknown
ENM News,United States,"German inspectors on Wednesday will begin demanding proof of vaccination, COVID-19 recovery or a negative test on public transport as the country tries to mitigate a coronavirus surge that is gripping Europe.   #ENMNEWSHEALTH

https://t.co/OPhGIZ1Grb https://t.co/TWPbbDm4ZE",2021-11-24 13:44:52+00:00,enmnewshealth,german inspector wednesday begin demand proof vaccin covid19 recoveri neg test public transport countri tri mitig coronaviru surg grip europ enmnewshealth,Unknown
MedPub.io,United States,"As vaccination efforts falter, get serious about Covid-19 testing - STAT

For more up-to-date medical headlines, visit https://t.co/8ugyCPRjur
#MedicalNews #MedTwitter #MedEd #MedNews
https://t.co/zl79rcaVFg",2021-11-24 10:00:35+00:00,"medicalnews,medtwitter,meded,mednews",vaccin effort falter get seriou covid19 test stat uptod medic headlin visit medicalnew medtwitt mede mednew,Unknown
Aadhil,United States,"COVID-19 : Vaccination Updates

22.11.2021

Number of people who have received the first dose -
GMA: 20
Atolls: 26

Number of people who have received the second dose -
GMA: 145
Atolls: 46

Number of people who have received the booster dose -
GMA: 124
A… https://t.co/8qbl4QFh0x",2021-11-24 08:12:49+00:00,,covid19 vaccin updat number peopl receiv first dose gma atol number peopl receiv second dose gma atol number peopl receiv booster dose gma,Unknown
Million 💵 Babe,United States,"Increases in COVID-19 are unrelated to levels of vaccination across 68 countries and 2947 counties in the United States

S. V. Subramanian &amp; 

Akhil Kumar 

European Journal of Epidemiology (2021)

https://t.co/PlB1dVB0hL",2021-11-24 04:42:49+00:00,,increas covid19 unrel level vaccin across countri counti unit state v subramanian amp akhil kumar european journal epidemiolog,Unknown
Donna McBroomTheriot,United States,"“Last March a former senior officer of the Bill &amp; Melinda Gates Foundation, Geert Vanden Bossch, drew significant attention when he issued an open letter and video warning of a “global catastrophe without equal” due to experimental COVID-19 vaccination programs.”",2021-11-24 02:50:29+00:00,,last march former senior offic bill amp melinda gate foundat geert vanden bossch drew signific attent issu open letter video warn global catastroph without equal due experiment covid19 vaccin program,Unknown
Eye To Eye Careers,United States,"COVID-19 vaccination was significantly associated with lower stress level in ophthalmic personnel and students.

https://t.co/Ugw1hjr0cu
.⁠
.⁠
.⁠
.⁠
.⁠
#optometry #eyedoctor #optometrist #eye #eyecare #ophthalmology #optometrynews #eyeclinic https://t.co/gCnWhGLDam",2021-11-24 00:01:06+00:00,"optometry,eyedoctor,optometrist,eye,eyecare,ophthalmology,optometrynews,eyeclinic",covid19 vaccin significantli associ lower stress level ophthalm personnel student optometri eyedoctor optometrist eye eyecar ophthalmolog optometrynew eyeclin,Unknown
SAP Healthcare,United States,.@BR_RO shares how the SAP Vaccine Collaboration Hub solution can support health systems &amp; pharma manufacturers to efficiently distribute the COVID-19 #vaccine as countries rollout large-scale immunization campaigns 💉 https://t.co/mRrA1dW2c4 https://t.co/bq9Kr6tpTJ,2021-11-25 22:09:01+00:00,vaccine,brro share sap vaccin collabor hub solut support health system amp pharma manufactur effici distribut covid19 vaccin countri rollout largescal immun campaign,Unknown
Commonwealth Healthcare Corporation (CHCC),United States,"COVID-19 vaccination sites available for students and school staff!

Registration required for vaccination. Walk-ins are not accepted.

Parents, reach out to your child's school administration about how to register.

For more info:
https://t.co/n9QHHVues2 
(670) 682-7468 https://t.co/qeRD5G7LL6",2021-11-25 22:00:01+00:00,,covid19 vaccin site avail student school staff registr requir vaccin walkin accept parent reach child school administr regist info,Unknown
Cameron Jenne,United States,"@drsajumathew https://t.co/rrL4lIpeP4
Hen can I ask what the point is in being fully vaccinated if I have had Covid 19 already other then feeding the fat cats aka big pharma?",2021-11-25 20:57:40+00:00,,drsajumathew hen ask point fulli vaccin covid alreadi feed fat cat aka big pharma,Unknown
Cristian PM,United States,"Automakers, Union Reach Deal to Avoid Vaccine Mandates.

Workplace masking required, injections encouraged but not mandatory.
https://t.co/tQ5BQ5y0nP",2021-11-25 19:13:01+00:00,,automak union reach deal avoid vaccin mandat workplac mask requir inject encourag mandatori,Unknown
Sonny Nolan,United States,"@duty2warn Today is a good day for Republican members of Congress to, publicly, announce their Covid-19
Vaccination Status —",2021-11-25 17:10:55+00:00,,duty2warn today good day republican member congress publicli announc covid19 vaccin statu,Unknown
Vaccinate Your Family,United States,"Grateful for vaccines. 
Grateful for all of the people who have worked tirelessly to make COVID-19 vaccination possible. 
Grateful to be able to gather more safely this holiday. 
🧡 
Happy Thanksgiving from all of us at Vaccinate Your Family! https://t.co/rO5YR2lLYi",2021-11-25 14:20:03+00:00,,grate vaccin grate peopl work tirelessli make covid19 vaccin possibl grate abl gather safe holiday happi thanksgiv u vaccin famili,Unknown
Baha News,United States,"COVID-19 vaccination certificates could be valid for nine months throughout the EU upon complete immunization, a proposal by the European Commission suggested.

https://t.co/pFYdghrJ2v",2021-11-25 12:41:08+00:00,,covid19 vaccin certif could valid nine month throughout eu upon complet immun propos european commiss suggest,Unknown
Commonwealth Healthcare Corporation (CHCC),United States,"🚨Don't forget!

The CHCC Immunization Clinic and Multi-Purpose COVID-19 vaccination hours for 11/26/21 are 7:30AM-11:30AM. https://t.co/jY0uHfjm7O",2021-11-25 12:21:00+00:00,,dont forget chcc immun clinic multipurpos covid19 vaccin hour 730am1130am,Unknown
EFeeds,United States,"Over 18.5 lakh inoculated in Madhya Pradesh during mega
COVID-19 vaccination drive | SSFEED
At least 18.56 lakh people took the jab under the
#ssfeed
https://t.co/70tFgonJ9q #cryptocurrency #crypto #altseason #defi #enrichedfeed #smartcontracts #furucombo #dex #cex",2021-11-25 08:50:32+00:00,"ssfeed,cryptocurrency,crypto,altseason,defi,enrichedfeed,smartcontracts,furucombo,dex,cex",lakh inocul madhya pradesh mega covid19 vaccin drive ssfeed least lakh peopl took jab ssfeed cryptocurr crypto altseason defi enrichedfe smartcontract furucombo dex cex,Unknown
dailymail,United States,"Covid-19 NSW: Masks scrapped, QR codes scaled back and no proof of vaccination on rule changes https://t.co/gpWj7Qv7an",2021-11-25 08:29:42+00:00,,covid19 nsw mask scrap qr code scale back proof vaccin rule chang,Unknown
Betty C. Jung,United States,"November 24, 2021. #COVID19US Vaccination Progress. https://t.co/yfcuYXoMi9   @CDC
Fully protected 59.1%
% fully protected boosted: 19.1% https://t.co/Ws12xERqr3",2021-11-25 05:02:06+00:00,covid19us,novemb covid19u vaccin progress cdc fulli protect fulli protect boost,Unknown
Newsmax,United States,"Teachers and other employees in schools in Washington, D.C. metro areas in Maryland and Virginia will soon face repercussions if they fail to comply with COVID-19 vaccination mandates, according to The Washington Post.https://t.co/SfjKTLI2ln",2021-11-26 22:55:42+00:00,,teacher employe school washington dc metro area maryland virginia soon face repercuss fail compli covid19 vaccin mandat accord washington post,Unknown
Just Thinking,United States,"“The more that COVID-19 circulates, the more opportunities this virus has to change to mutate” - World Health Organization 

Please get vaccinated- it really is a life and death matter

We MUST stop variants through VACCINATION

#COVID19 #Unvaccinated #Vaccine #vaccination",2021-11-26 22:12:14+00:00,"covid19,unvaccinated,vaccine,vaccination",covid19 circul opportun viru chang mutat world health organ plea get vaccin realli life death matter must stop variant vaccin covid19 unvaccin vaccin vaccin,Unknown
Michael 🇺🇲 Democrat for America🇺🇲,United States,This is why it is vital for all-American citizens to continue to get their #Covid_19 vaccination and flu shot. https://t.co/kRdnTsnGXD,2021-11-26 16:48:24+00:00,covid_19,vital allamerican citizen continu get covid19 vaccin flu shot,Unknown
FactSparrow,United States,"🚨 Another COVID claim alert 🚨

Are COVID-19 vaccines the reason vaccinated people ages 10 to 59 in England are dying at twice the rate of the unvaccinated?

NO, @LeadStoriesCom explains why this isn't the case 👇

#COVID19 #vaccination 
https://t.co/eW21JjS7Jz",2021-11-26 15:40:46+00:00,"covid19,vaccination",anoth covid claim alert covid19 vaccin reason vaccin peopl age england die twice rate unvaccin leadstoriescom explain isnt case covid19 vaccin,Unknown
"Dr. Daniel Udo-Akang, PhD",United States,"#46th @POTUS: His COVID-19 Mandatory policy was threatening. Many people (over 2million) decided to take alternative approach. It's been all about showing the vaccine card as a proof of vaccination – we came to discover that many people pay token, 200-300 to earn verifiable vCARD",2021-11-26 14:40:52+00:00,46th,46th potu covid19 mandatori polici threaten mani peopl 2million decid take altern approach show vaccin card proof vaccin came discov mani peopl pay token earn verifi vcard,Unknown
That Chris Raymond,United States,"@washingtonpost why are you not showing cases, hospitalizations &amp; deaths by vaccination status? Data is readily available. 
""For all adults age 18 years+, cumulative COVID-19-associated hospitalization rate  about 9X higher in unvaccinated persons.""

https://t.co/xPnzNo7ZrM https://t.co/TJfhqG6Cpv",2021-11-26 14:24:13+00:00,,washingtonpost show case hospit amp death vaccin statu data readili avail adult age year cumul covid19associ hospit rate 9x higher unvaccin person,Unknown
The Eagle Is Ascending,United States,"Good lord people! 
“Get Vaccinated”, I myself am tired of these mutations evolving, from slow vaccination rates! #CovidMutations may eventually evade “all” the current Vaccines 💉 
🤭😰😓😱
My Opinions as a #Nurse
#GetVaccinated Please!🇺🇸 🙏🏻 #EndCovidNOW https://t.co/5FCA1uLHKC",2021-11-26 13:26:27+00:00,"covidmutations,nurse,getvaccinated,endcovidnow",good lord peopl get vaccin tire mutat evolv slow vaccin rate covidmut may eventu evad current vaccin opinion nurs getvaccin plea endcovidnow,Unknown
Vision Times,United States,"#Children as young as five years old have begun receiving #COVID-19 #vaccines in #Israel. The government’s vaccination push comes as the threat of a new wave of infections looms over the country. Kids between five and 11 are being injected...

https://t.co/Bihk3siD9T",2021-11-26 13:22:51+00:00,"children,covid,vaccines,israel",child young five year old begun receiv covid19 vaccin israel govern vaccin push come threat new wave infect loom countri kid five inject,Unknown
Anti-terrorism,United States,"The genocide of the innocent European children has started.

EU drug regulator approves Pfizer COVID-19 vaccine for children.

The EU vaccination certificate will be valid for 9 months from the date of the second COVID-19 vaccine doses. https://t.co/wvvP3AscWa",2021-11-26 12:23:50+00:00,,genocid innoc european child start eu drug regul approv pfizer covid19 vaccin child eu vaccin certif valid month date second covid19 vaccin dose,Unknown
Alicha Ants,United States,"COVID-19: What you need to know about the coronavirus pandemic on 26 Nove.stories: New COVID-19 variant emerges in South Africa; 
Europe tackles surging COVID-19 cases; UK data shows COVID-19 vaccination to be safe for pregnant women.
https://t.co/84F9lc4e2b
 #SouthParkPostCovid https://t.co/4BWXT7hTCW",2021-11-26 11:04:55+00:00,southparkpostcovid,covid19 need know coronaviru pandem novestori new covid19 variant emerg south africa europ tackl surg covid19 case uk data show covid19 vaccin safe pregnant woman southparkpostcovid,Unknown
Leo The Patriot,United States,"Pre-print of a new study which assesses viral shedding among 978 #vaccinated and #unvaccinated incarcerated persons in a federal prison with high #vaccination rates. 
https://t.co/MUgAAVUGFt

#Covid #covid19 #covid__19 https://t.co/vDRaKAObmw",2021-11-26 09:46:40+00:00,"vaccinated,unvaccinated,vaccination,covid,covid19,covid__19",preprint new studi ass viral shed among vaccin unvaccin incarcer person feder prison high vaccin rate covid covid19 covid19,Unknown
AFRO~RICAN✊🏾🇵🇷,United States,Mississippi health advocates work to improve Hispanic COVID-19 vaccination rate - WDAM https://t.co/E1wmpcZWch,2021-11-26 08:34:57+00:00,,mississippi health advoc work improv hispan covid19 vaccin rate wdam,Unknown
Rahul Bhattacharya,United States,"#Covid-19 vaccine Australia rollout tracker by state: total number of people and per cent vaccinated, daily vaccine doses and rate of progress 📊 #DataScience 🧮 #DataVisualization #DataAnalytics #DataFam https://t.co/tCLjpjdtyx",2021-11-26 08:07:41+00:00,"covid,datascience,datavisualization,dataanalytics,datafam",covid19 vaccin australia rollout tracker state total number peopl per cent vaccin daili vaccin dose rate progress datasci datavisu dataanalyt datafam,Unknown
Betty C. Jung,United States,"""It will be important to continue monitoring the serological status of children, particularly in the context of new COVID-19 variants of concern and in the absence of mass vaccination campaigns targeting young children,"" Zinszer and colleagues concluded. https://t.co/gcTO7JRlhM",2021-11-26 06:41:59+00:00,,import continu monitor serolog statu child particularli context new covid19 variant concern absenc mass vaccin campaign target young child zinszer colleagu conclud,Unknown
jenderton4,United States,COVID-19: WHO Says Countries Should Have ‘Healthy Debate’ About Mandatory Vaccination https://t.co/1vCxPOmgRC via @ThePulse_one,2021-11-26 06:18:59+00:00,,covid19 say countri healthi debat mandatori vaccin via thepulseon,Unknown
Commonwealth Healthcare Corporation (CHCC),United States,"🚨The Multi-Purpose Center vaccination operation returns to regular hours tomorrow, 8AM-4PM to administer all types of COVID-19 vaccines.

Register at https://t.co/n9QHHVues2, walk in, or call (670) 682-7468. Free rides available by request.✍️🚶

#vaccinateCNMI🇲🇵 https://t.co/fOscU7a2Gw",2021-11-26 06:00:00+00:00,vaccinatecnmi,multipurpos center vaccin oper return regular hour tomorrow 8am4pm administ type covid19 vaccin regist walk call free ride avail request vaccinatecnmi,Unknown
1776 For All of the Occidental,United States,"As this keeps happening, why are all the ""mandates"" largely focused on vaccination?

Shouldn't the autocrats be insisting EVERYONE be tested twice a week to be allowed to go out in public?  🤔

https://t.co/pXfvXEEvnI",2021-11-26 02:29:47+00:00,,keep happen mandat larg focus vaccin shouldnt autocrat insist everyon test twice week allow go public,Unknown
Joanna Sz,United States,"✝️💉🕯️Deceased doctors aren't lying: Doctors who advocate 'vaccination' for COVID-19 are dying of a heart attack or thrombosis.
https://t.co/gyv69cXuSs",2021-11-26 00:17:49+00:00,,deceas doctor arent lie doctor advoc vaccin covid19 die heart attack thrombosi,Unknown
Gabriel Foley 🎙️,United States,New Analysis of ONS Data Finds that Vaccine Effectiveness Against Death Has Been Overestimated and Uncovers an Alarming Spike in Covid Deaths Post-Vaccination https://t.co/Cb3mkmd0dx via @LD_Sceptics,2021-11-26 00:04:32+00:00,,new analysi on data find vaccin effect death overestim uncov alarm spike covid death postvaccin via ldsceptic,Unknown
Vision Times,United States,"The Prime Minister of #France, #JeanCastex, was recently found to have been infected with #COVID-19 and is currently in quarantine. He had developed “slight symptoms,” including a “slight cough.” Castex had received two shots of the COVID-19 vaccine.

https://t.co/pKz2QQtszk",2021-11-27 22:26:02+00:00,"france,jeancastex,covid",prime minist franc jeancastex recent found infect covid19 current quarantin develop slight symptom includ slight cough castex receiv two shot covid19 vaccin,Unknown
D. Scott @eclipsethis2003,United States,"9th District Court blocks COVID-19 vaccine mandate for California prisons.
The vaccination mandate was supposed to have taken effect by Jan. 12 but the appellate court stay blocks enforcement until sometime in March.",2021-11-27 22:25:08+00:00,,9th district court block covid19 vaccin mandat california prison vaccin mandat suppos taken effect jan appel court stay block enforc sometim march,Unknown
Real Facts NO BS,United States,@Realfafman Even hard facts without context and details always sound odd. Out of all COVID deaths this year more than 90% were among unvaccinated. If there is a cure and people don’t use it there is nothing odd about it when they die https://t.co/vkPFxkze1I,2021-11-27 21:43:45+00:00,,realfafman even hard fact without context detail alway sound odd covid death year among unvaccin cure peopl dont use noth odd die,Unknown
Theequalizer23,United States,Thanks to republicans the covid-19 virus continues to mutate. Another republican appointed judge has blocked a  vaccination mandate. Mandates are only necessary because of republican stupidity/interference. Republicans will kill us all if we don't vote them out. https://t.co/L2RLcghuGA,2021-11-27 21:16:55+00:00,,thank republican covid19 viru continu mutat anoth republican appoint judg block vaccin mandat mandat necessari republican stupidityinterfer republican kill u dont vote,Unknown
"Harvey J. Berger, M.D.",United States,"To control the #COVID-19 spread, we must require full vaccination to get on a plane in the US and testing before entry to the US. Let’s get serious before we have no choice. https://t.co/x8m3RgFbKT",2021-11-27 18:36:19+00:00,covid,control covid19 spread must requir full vaccin get plane u test entri u let get seriou choic,Unknown
Rainbow Bridges 🏳️‍🌈,United States,"IT’S BACK❗️https://t.co/g0Ep5LpoPu
COVID-19: All close contacts of positive Omicron cases must self-isolate regardless of vaccination status https://t.co/UXuxLzPFHv",2021-11-27 17:23:23+00:00,,back covid19 close contact posit omicron case must selfisol regardless vaccin statu,Unknown
Unredacted Lori,United States,"South Africa's Tale of COVID-19, Medicine, and Vaccination
Pandemic National Case Studies

Mathew Crawford

“When you become wise of the healer, also become wise of the sickness.” -South African proverb

Coincidentally . . . https://t.co/eTRS6bnhKf https://t.co/jmhsio2zmT",2021-11-27 16:35:38+00:00,,south africa tale covid19 medicin vaccin pandem nation case studi mathew crawford becom wise healer also becom wise sick south african proverb coincident,Unknown
